PCON24CD,damage_cost_central,damage_cost_low,damage_cost_high
E14001497,15683.302,2219.04,54166.88785714285
E14001498,26002.62,3215.3999999999996,91140.52142857143
E14001499,30017,3603,105523.85714285714
E14001500,30017,3603,105523.85714285714
E14001501,29214.124,3525.48,102647.19
E14001502,30017,3603,105523.85714285714
E14001503,70132.5,7481,249244
E14001504,25884.55,3204,90717.48214285714
E14001505,29804.474000000002,3582.48,104762.38642857144
E14001506,29922.544,3593.88,105185.42571428572
E14001507,27206.933999999994,3331.6799999999994,95455.52214285714
E14001508,18847.578,2524.5600000000004,65504.34071428572
E14001509,28080.651999999995,3416.0399999999995,98586.01285714285
E14001510,29851.702,3587.04,104931.60214285714
E14001511,15069.338000000002,2159.76,51967.08357142858
E14001512,20618.628,2695.56,71849.93
E14001513,23452.307999999997,2969.16,82002.87285714285
E14001514,23357.852,2960.0399999999995,81664.44142857143
E14001515,29969.772,3598.44,105354.64142857143
E14001516,28741.843999999997,3479.8799999999997,100955.03285714285
E14001517,30017,3603,105523.85714285714
E14001603,20925.609999999997,2725.2,72949.83214285714
E14001604,30017,3603,105523.85714285714
E14001518,28836.3,3489,101293.46428571429
E14001605,22980.028000000002,2923.56,80310.71571428572
E14001519,25837.321999999996,3199.4399999999996,90548.26642857143
W07000081,25695.638000000003,3185.76,90040.61928571429
E14001520,30017,3603,105523.85714285714
W07000082,24680.236,3087.7200000000003,86402.48142857144
E14001521,29875.316000000006,3589.3200000000006,105016.21
W07000083,19815.752,2618.04,68973.26285714285
W07000084,24538.552,3074.0400000000004,85894.83428571429
W07000085,12707.938000000002,1931.7600000000002,43506.297857142854
W07000086,26923.566000000006,3304.3200000000006,94440.22785714288
W07000087,15140.179999999998,2166.6,52220.90714285715
W07000088,26947.18,3306.6000000000004,94524.83571428571
W07000089,29922.544,3593.88,105185.42571428572
W07000090,29450.264,3548.2799999999997,103493.26857142856
W07000091,29804.474000000002,3582.48,104762.38642857144
W07000092,28293.178000000004,3436.5600000000004,99347.48357142859
W07000093,10535.449999999999,1722,35722.375
W07000094,17643.264,2408.28,61189.34000000001
W07000095,24207.956,3042.12,84710.32428571429
W07000096,8929.698,1566.96,29969.04071428572
W07000097,22578.59,2884.8,78872.38214285714
W07000098,21941.012,2823.24,76587.96999999999
W07000099,27962.582,3404.64,98162.97357142856
W07000100,13227.446,1981.92,45367.67071428572
W07000101,19036.49,2542.8,66181.20357142857
W07000102,14927.653999999999,2146.08,51459.436428571425
W07000103,26262.374,3240.48,92071.20785714286
W07000104,27348.618000000002,3345.3599999999997,95963.16928571429
W07000105,27938.968,3402.36,98078.36571428573
W07000106,26781.881999999998,3290.6400000000003,93932.58071428571
W07000107,26309.602,3245.04,92240.42357142858
W07000108,30017,3603,105523.85714285714
W07000109,27962.582,3404.64,98162.97357142856
W07000110,23617.606000000003,2985.1200000000003,82595.12785714287
W07000111,22224.38,2850.6000000000004,77603.2642857143
W07000112,10535.449999999999,1722,35722.375
